Title,Rating,Price,Processor,RAM,Display Size,Storage Capacity
Lenovo Intel Celeron Dual Core - (8 GB/256 GB SSD/Windows 11 Home) 81WQ00MQIN|81WQ00NXIN Laptop,4.1,"₹25,685",Intel Celeron Dual Core Processor,8 GB DDR4 RAM,39.62 cm (15.6 Inch) Display,256 GB SSD
ASUS TUF Gaming F15 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce G...,4.4,"₹51,990",Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,39.62 cm (15.6 inch) Display,512 GB SSD
ASUS Vivobook 15 Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515EA-EJ322WS Thin and Light La...,4.2,"₹38,990",Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,39.62 cm (15.6 Inch) Display,512 GB SSD
ASUS VivoBook 14 (2021) Celeron Dual Core - (4 GB/256 GB SSD/Windows 11 Home) X415MA-BV011W Thin and L...,4.1,"₹23,990",Intel Celeron Dual Core Processor,4 GB DDR4 RAM,35.56 cm (14 inch) Display,256 GB SSD
RedmiBook Pro Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) Thin and Light Laptop,4.1,"₹39,990",Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,39.62 cm (15.6 inch) Display,512 GB SSD
Lenovo IdeaPad Slim 3 Intel Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) 15ITL05 Thin and Ligh...,4.3,"₹33,490",Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,39.62 cm (15.6 Inch) Display,256 GB SSD
HP 14s Intel Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 14s - dy2508TU Thin and Light Laptop,4.3,"₹40,990",Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,35.56 cm (14 inch) Display,512 GB SSD
ASUS Vivobook 15 Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515EA-EJ522WS Thin and Light La...,4.3,"₹47,990",Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,39.62 cm (15.6 Inch) Display,512 GB SSD
APPLE 2020 Macbook Air M1 - (8 GB/256 GB SSD/Mac OS Big Sur) MGN63HN/A,4.7,"₹84,990",Apple M1 Processor,8 GB DDR4 RAM,33.78 cm (13.3 inch) Display,256 GB SSD
ASUS VivoBook K15 OLED (2022) Ryzen 5 Hexa Core AMD R5-5500U - (8 GB/1 TB HDD/256 GB SSD/Windows 11 Ho...,4.4,"₹51,990",AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,39.62 cm (15.6 inch) Display,1 TB HDD|256 GB SSD
HP Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 250 G8 Laptop,4.3,"₹36,990",Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,39.62 cm (15.6 inch) Display,512 GB SSD
Lenovo Ideapad Gaming 3 Ryzen 5 Hexa Core AMD R5-5600H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphic...,4.4,"₹55,990",AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,39.62 cm (15.6 inch) Display,512 GB SSD
ASUS TUF Dash F15 Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RT...,4.5,"₹83,990",Intel Core i5 Processor (12th Gen),16 GB DDR5 RAM,39.62 cm (15.6 Inch) Display,512 GB SSD
