,Rating,Price,Processor,Brand,SSD_Capacity,Ram,Ram_Type,Display_Size,EMMC_Storage(in_GB),HDD_Storage(in_GB)
0,4.1,25685.0,Intel Celeron Dual Core Processor,LENOVO,256.0,8.0,DDR4,39.62,0.0,0.0
1,4.4,51990.0,Intel Core i5 Processor (10th Gen),ASUS,512.0,8.0,DDR4,39.62,0.0,0.0
2,4.2,38990.0,Intel Core i3 Processor (11th Gen),ASUS,512.0,8.0,DDR4,39.62,0.0,0.0
3,4.1,23990.0,Intel Celeron Dual Core Processor,ASUS,256.0,4.0,DDR4,35.56,0.0,0.0
4,4.1,39990.0,Intel Core i5 Processor (11th Gen),MI,512.0,8.0,DDR4,39.62,0.0,0.0
5,4.3,33490.0,Intel Core i3 Processor (11th Gen),LENOVO,256.0,8.0,DDR4,39.62,0.0,0.0
6,4.3,40990.0,Intel Core i3 Processor (11th Gen),HP,512.0,8.0,DDR4,35.56,0.0,0.0
7,4.3,47990.0,Intel Core i5 Processor (11th Gen),ASUS,512.0,8.0,DDR4,39.62,0.0,0.0
8,4.7,84990.0,Apple M1 Processor,APPLE,256.0,8.0,DDR4,33.78,0.0,0.0
9,4.4,51990.0,AMD Ryzen 5 Hexa Core Processor,ASUS,256.0,8.0,DDR4,39.62,0.0,1024.0
10,4.3,36990.0,Intel Core i3 Processor (11th Gen),HP,512.0,8.0,DDR4,39.62,0.0,0.0
11,4.4,55990.0,AMD Ryzen 5 Hexa Core Processor,LENOVO,512.0,8.0,DDR4,39.62,0.0,0.0
12,4.5,83990.0,Intel Core i5 Processor (12th Gen),ASUS,512.0,16.0,DDR5,39.62,0.0,0.0
13,4.3,50990.0,AMD Ryzen 5 Hexa Core Processor,HP,512.0,16.0,DDR4,39.62,0.0,0.0
14,4.4,42090.0,Intel Core i3 Processor (11th Gen),ASUS,256.0,8.0,DDR4,39.62,0.0,0.0
15,4.3,53990.0,Intel Core i5 Processor (11th Gen),HP,512.0,8.0,DDR4,39.62,0.0,0.0
16,4.0,27990.0,AMD Athlon Dual Core Processor,HP,256.0,8.0,DDR4,35.56,0.0,0.0
17,4.1,40990.0,Intel Core i3 Processor (11th Gen),DELL,256.0,8.0,DDR4,39.62,0.0,1024.0
18,4.4,74500.0,AMD Ryzen 7 Octa Core Processor,ASUS,512.0,8.0,DDR4,43.94,0.0,0.0
19,4.3,52990.0,AMD Ryzen 5 Hexa Core Processor,HP,512.0,8.0,DDR4,35.56,0.0,0.0
20,4.3,36158.0,Intel Core i3 Processor (11th Gen),LENOVO,512.0,8.0,DDR4,39.62,0.0,0.0
21,4.2,38990.0,AMD Ryzen 5 Quad Core Processor,ASUS,512.0,8.0,DDR4,35.56,0.0,0.0
22,4.2,37490.0,Intel Core i3 Processor (11th Gen),HP,256.0,8.0,DDR4,35.56,0.0,0.0
23,4.2,37990.0,AMD Ryzen 3 Quad Core Processor,HP,512.0,8.0,DDR4,39.62,0.0,0.0
24,4.4,49990.0,AMD Ryzen 5 Hexa Core Processor,MSI,512.0,8.0,DDR4,39.62,0.0,0.0
25,4.5,42490.0,Intel Core i3 Processor (11th Gen),HP,512.0,8.0,DDR4,39.62,0.0,0.0
26,4.6,89990.0,Intel Core i9 Processor (12th Gen),INFINIX,1024.0,32.0,LPDDR5,39.62,0.0,0.0
27,4.6,79990.0,Intel Core i5 Processor (11th Gen),ASUS,512.0,16.0,LPDDR4X,35.56,0.0,0.0
28,4.2,58400.0,Intel Core i5 Processor (12th Gen),HP,512.0,8.0,DDR4,39.62,0.0,0.0
29,4.2,119990.0,Intel Core i7 Processor (12th Gen),ASUS,1024.0,16.0,LPDDR5,35.56,0.0,0.0
30,4.6,112990.0,Apple M2 Processor,APPLE,256.0,8.0,Unified,34.54,0.0,0.0
31,4.5,65990.0,AMD Ryzen 5 Hexa Core Processor,ASUS,1024.0,8.0,DDR4,39.62,0.0,0.0
32,4.2,56990.0,Intel Core i7 Processor (11th Gen),ASUS,512.0,16.0,DDR4,39.62,0.0,0.0
33,4.8,129990.0,Apple M2 Processor,APPLE,512.0,8.0,Unified,34.54,0.0,0.0
34,4.3,50490.0,AMD Ryzen 5 Hexa Core Processor,LENOVO,512.0,8.0,DDR4,39.62,0.0,0.0
35,4.2,56999.0,AMD Ryzen 5 Hexa Core Processor,HP,512.0,16.0,DDR4,35.56,0.0,0.0
36,4.4,55490.0,Intel Core i5 Processor (11th Gen),REALME,512.0,8.0,DDR4,35.56,0.0,0.0
37,4.2,51990.0,Intel Core i5 Processor (11th Gen),ASUS,512.0,8.0,DDR4,39.62,0.0,0.0
38,4.4,65114.0,Intel Core i5 Processor (10th Gen),LENOVO,512.0,8.0,DDR4,39.62,0.0,0.0
39,0.0,199900.0,Apple M2 Pro Processor,APPLE,512.0,16.0,Unified,35.56,0.0,0.0
40,4.3,89990.0,Intel Core i7 Processor (12th Gen),HP,1024.0,16.0,DDR4,39.62,0.0,0.0
41,0.0,170990.0,Intel Core i7 Processor (12th Gen),MSI,1024.0,16.0,DDR5,43.94,0.0,0.0
42,0.0,219990.0,Intel Core i7 Processor (13th Gen),MSI,1024.0,32.0,DDR5,43.94,0.0,0.0
43,4.3,61990.0,Intel Core i5 Processor (12th Gen),ACER,512.0,16.0,DDR4,39.62,0.0,0.0
44,0.0,129990.0,Apple M2 Processor,APPLE,256.0,16.0,Unified,34.54,0.0,0.0
45,4.2,33990.0,Intel Core i3 Processor (11th Gen),LENOVO,256.0,8.0,DDR4,35.56,0.0,0.0
46,4.3,57990.0,Intel Core i5 Processor (12th Gen),ACER,512.0,8.0,DDR4,39.62,0.0,0.0
47,4.4,63990.0,AMD Ryzen 5 Hexa Core Processor,ASUS,512.0,8.0,DDR4,43.94,0.0,0.0
48,4.0,16990.0,Intel Celeron Dual Core Processor,ASUS,0.0,4.0,LPDDR4,29.46,32.0,0.0
49,4.0,37600.0,Intel Core i3 Processor (11th Gen),HP,512.0,8.0,DDR4,39.62,0.0,0.0
50,4.0,42990.0,Intel Core i3 Processor (12th Gen),ASUS,512.0,8.0,DDR4,35.56,0.0,0.0
51,4.3,53990.0,Intel Core i5 Processor (11th Gen),LENOVO,512.0,8.0,DDR4,39.62,0.0,0.0
52,4.3,45490.0,AMD Ryzen 5 Hexa Core Processor,HP,512.0,8.0,DDR4,39.62,0.0,0.0
53,4.2,37990.0,AMD Ryzen 3 Quad Core Processor,HP,512.0,8.0,DDR4,39.62,0.0,0.0
54,4.2,47990.0,Intel Core i5 Processor (11th Gen),ASUS,512.0,8.0,DDR4,39.62,0.0,0.0
55,4.0,82990.0,Intel Core i5 Processor (12th Gen),HP,512.0,16.0,DDR4,39.62,0.0,0.0
56,0.0,129990.0,AMD Ryzen 7 Octa Core Processor,ASUS,1024.0,16.0,DDR5,39.62,0.0,0.0
57,4.4,57990.0,AMD Ryzen 7 Octa Core Processor,ASUS,512.0,16.0,DDR4,39.62,0.0,0.0
58,4.6,84990.0,Intel Core i7 Processor (12th Gen),HP,1024.0,16.0,DDR4,35.56,0.0,0.0
59,4.4,59990.0,AMD Ryzen 7 Octa Core Processor,ASUS,512.0,16.0,DDR4,39.62,0.0,0.0
60,0.0,89990.0,Intel Core i7 Processor (12th Gen),DELL,512.0,16.0,LPDDR4,33.78,0.0,0.0
61,4.7,104990.0,Intel Core i7 Processor (12th Gen),MSI,512.0,16.0,DDR4,39.62,0.0,0.0
62,4.1,53490.0,Intel Core i5 Processor (11th Gen),DELL,512.0,8.0,DDR4,39.62,0.0,0.0
63,4.0,48990.0,Intel Core i7 Processor (11th Gen),INFINIX,512.0,16.0,LPDDR4X,39.62,0.0,0.0
64,4.3,59490.0,AMD Ryzen 5 Hexa Core Processor,HP,512.0,16.0,DDR4,39.62,0.0,0.0
65,4.5,90990.0,AMD Ryzen 7 Octa Core Processor,ASUS,1024.0,16.0,DDR4,39.62,0.0,0.0
66,4.5,87990.0,AMD Ryzen 7 Octa Core Processor,ASUS,512.0,8.0,DDR4,39.62,0.0,0.0
67,5.0,134999.0,Intel Core i9 Processor (11th Gen),ACER,1024.0,16.0,DDR4,39.62,0.0,0.0
68,5.0,149990.0,Apple M2 Processor,APPLE,512.0,8.0,Unified,34.54,0.0,0.0
69,0.0,359990.0,Intel Core i9 Processor (13th Gen),ASUS,1024.0,32.0,DDR5,45.72,0.0,0.0
70,4.0,57990.0,AMD Ryzen 5 Hexa Core Processor,HP,512.0,8.0,DDR4,39.62,0.0,0.0
71,4.1,34990.0,Intel Core i3 Processor (11th Gen),ACER,512.0,8.0,DDR4,39.62,0.0,0.0
72,4.3,43890.0,AMD Ryzen 5 Hexa Core Processor,LENOVO,512.0,8.0,DDR4,39.62,0.0,0.0
73,4.2,37990.0,Intel Core i3 Processor (11th Gen),ASUS,512.0,8.0,DDR4,39.62,0.0,0.0
74,3.4,62990.0,AMD Ryzen 7 Octa Core Processor,HP,512.0,8.0,DDR4,40.89,0.0,0.0
75,2.8,53990.0,AMD Ryzen 5 Hexa Core Processor,ASUS,512.0,16.0,DDR4,43.94,0.0,0.0
76,4.5,74990.0,Intel Core i5 Processor (12th Gen),ASUS,512.0,16.0,DDR4,35.56,0.0,0.0
77,4.2,50990.0,Intel Core i5 Processor (11th Gen),LENOVO,512.0,8.0,DDR4,39.62,0.0,0.0
78,4.7,124990.0,AMD Ryzen 7 Octa Core Processor,ASUS,1024.0,16.0,DDR5,39.62,0.0,0.0
79,4.5,76990.0,Intel Core i5 Processor (12th Gen),MSI,512.0,16.0,DDR4,39.62,0.0,0.0
80,4.2,36990.0,AMD Ryzen 3 Dual Core Processor,LENOVO,512.0,8.0,DDR4,39.62,0.0,0.0
81,4.5,89690.0,AMD Ryzen 7 Octa Core Processor,ASUS,512.0,16.0,DDR4,39.62,0.0,0.0
82,4.2,47700.0,AMD Ryzen 5 Hexa Core Processor,HP,512.0,8.0,DDR4,35.56,0.0,0.0
83,4.3,41000.0,AMD Ryzen 3 Quad Core Processor,HP,512.0,8.0,DDR4,39.62,0.0,0.0
84,4.2,60990.0,Intel Core i5 Processor (12th Gen),HP,512.0,16.0,DDR4,35.56,0.0,0.0
85,0.0,304990.0,Intel Core i9 Processor (12th Gen),DELL,1024.0,32.0,LPDDR5,39.62,0.0,1024.0
86,3.9,62990.0,Intel Core i5 Processor (11th Gen),HP,512.0,16.0,DDR4,40.89,0.0,0.0
87,4.3,62990.0,AMD Ryzen 7 Octa Core Processor,HP,512.0,8.0,DDR4,40.89,0.0,0.0
88,0.0,279990.0,Intel Core i9 Processor (13th Gen),ASUS,1024.0,32.0,DDR5,45.72,0.0,0.0
89,4.0,79990.0,Intel Core i5 Processor (12th Gen),DELL,512.0,8.0,DDR5,39.62,0.0,0.0
90,4.4,68928.0,AMD Ryzen 5 Hexa Core Processor,LENOVO,512.0,16.0,DDR4,39.62,0.0,0.0
91,4.8,71990.0,Intel Core i5 Processor (12th Gen),HP,512.0,16.0,DDR4,35.56,0.0,0.0
92,0.0,129990.0,Apple M2 Processor,APPLE,256.0,16.0,Unified,34.54,0.0,0.0
93,4.0,58990.0,Intel Core i5 Processor (12th Gen),DELL,256.0,8.0,DDR4,39.62,0.0,1024.0
94,0.0,296000.0,Intel Core i9 Processor (12th Gen),HP,2048.0,32.0,DDR5,43.94,0.0,0.0
95,4.4,38990.0,Intel Core i3 Processor (11th Gen),ASUS,512.0,8.0,DDR4,39.62,0.0,0.0
